tmIDString,confID,playoff,playoff_prob,predicted_playoff
SEA,1,1,0.615549234778801,1
SAS,1,1,0.615548577872633,1
SAC,1,0,0.6155478285073703,1
PHO,1,1,0.6155461241513592,1
WAS,0,1,0.6155434045464975,1
MIN,1,0,0.6155414664824104,0
NYL,0,0,0.6155357771064626,1
LAS,1,1,0.615534075328392,0
IND,0,1,0.6155188754787599,1
DET,0,1,0.6154831332325303,1
CON,0,0,0.6154393242011668,0
CHI,0,0,0.6151731705601348,0
ATL,0,1,0.6140390077534827,0
